One World Trade Center,2014,3900000000
Emirates Palace,2005,3000000000
Palace of the Parliament,1988,3000000000
Wynn Las Vegas,2005,2700000000
Shanghai Tower,2015,2400000000
The Venetian Macao,2007,2400000000
Royal Adelaide Hospital,2016,2100000000
Goldman Sachs Headquarters,2010,2100000000
The Shard,2013,1900000000
The Palazzo,2007,1900000000
Taipei 101,2004,1760000000
Burj Khalifa,2010,1500000000
CapitaGreen,2014,1400000000
220 Central Park South,2019,1300000000
Kyoto Station,1997,1250000000
Comcast Innovation & Technology Center,2018,1200000000
Wilshire Grand Center,2017,1200000000
Elbphilharmonie,2016,1027510000
Vista Tower,2020,1000000000
United States Embassy,2018,1000000000
Niagara Falls Hilton Phase 2,2009,1000000000
Mercury City,2013,1000000000
Bank of America Tower,2009,1000000000
MGM Grand Resort & Casino,1993,1000000000
SunTrust Financial Centre,1992,1000000000
Myer Centre,1991,1000000000
Chifley Tower,1992,1000000000
MGM Grand Macau,2007,975000000
Red Rock Casino Resort & Spa,2006,925000000
The Bow,2012,850000000
Trump International Hotel & Tower,2009,850000000
New York Times Tower,2007,850000000
Shanghai World Financial Center,2008,850000000
ANZ Bank Centre,2013,800000000
Paris Las Vegas,1999,785000000
HSBC Main Building,1985,779067953
Two International Finance Centre,2003,770000000
Devon Energy Center,2012,750000000
"Elara, a Hilton Grand Vacations Hotel",2009,750000000
Gate to the East,2014,700000000
Seven World Trade Center,2006,700000000
Paula & Rusty Walter Tower,2018,697000000
Ping An International Finance Center,2017,678000000
Rush Hospital Tower,2012,654000000
Belfer Research Building,2014,650000000
Palms Place,2008,650000000
The Mirage,1989,650000000
Millennium Tower,2016,620000000
Ann & Robert H. Lurie Children's Hospital of Chicago,2012,605000000
Rainier Square Tower,2020,600000000
Golden Nugget Lake Charles,2014,600000000
"South Point Hotel, Casino, and Spa",2005,600000000
Palace Tower,1998,600000000
Roche Turm Bau 1,2015,588305000
Texas Children's Pavilion for Women,2012,575000000
Porsche Design Tower,2016,560000000
Harrah's Waterfront Tower,2008,550000000
World Market Center - Building C,2008,550000000
Palms Casino Hotel,2001,550000000
5 Broadgate,2015,548901470
Punto Chapultepec,2019,540000000
Comcast Center,2008,540000000
Jin Mao Tower,1999,540000000
JW Marriott Hotel Vancouver,2017,535000000
One Raffles Place Tower 2,2012,530000000
"Marriott Marquis Washington, DC",2014,520000000
MahaNakhon,2016,515000000
AIG Tower,2005,513000000
Den Norske Opera & Ballett,2008,511440162
De Rotterdam,2013,510000000
Four Seasons Hotel St. Louis,2007,507000000
Prentice Women's Hospital,2007,502500000
Trump International Hotel & Tower Vancouver,2016,500000000
Brookfield Place,2012,500000000
Evolution Tower,2015,500000000
Providence Regional Medical Center Everett - Colby Campus Medical Tower,2011,500000000
WestendGate,1976,500000000
The Index,2010,490000000
Harbert Tower at the Benjamin Russell Hospital for Children,2012,483000000
Diwang International Fortune Center,2015,482200000
Fangyuan Mansion,2001,482000000
The Summit,2001,468000000
100 Mount Street,2019,467500000
Smilow Cancer Hospital,2009,467000000
Beirut Terraces,2017,460000000
Hyatt Regency Orlando Expansion Tower,2010,450000000
Albert B. Chandler Hospital Pavilion A,2010,450000000
Rosewood Dubai,2015,450000000
Deutsche Bank Place,2005,450000000
San Diego County Central Courthouse,2017,447300000
Jennie Sealy Hospital,2016,438000000
Bellevue Towers Two,2008,438000000
Pedersen Patient Tower,2019,430000000
Shangri-La Toronto,2012,430000000
Koncerthuset,2009,430000000
Treasure Island Hotel & Casino,1993,430000000
Bronx County Hall of Justice,2006,421000000
L.A. Live Hotel & Condominiums,2010,412000000
Ocean Heights,2010,408400000
Generations of Care Tower,2019,400000000
Northwestern Mutual Tower,2017,400000000
F5 Tower,2017,400000000
Jade Signature,2018,400000000
Dally Tower,2011,400000000
The Private Residences at Hotel Georgia,2012,400000000
Sky Tower 1,2012,400000000
RBC Centre,2009,400000000
300 North LaSalle,2009,400000000
InterContinental Doha The City,2012,400000000
The Water Club at Borgata,2008,400000000
Caesars Windsor - Augustus Tower,2008,400000000
Freedom Forum and Newseum,2007,400000000
Westendstraße 1,1993,400000000
QV1 Tower,1991,400000000
Central Bank of Kuwait,2013,400000000
Grand Lisboa,2008,385875000
The Center,1998,384600000
Roppongi T-CUBE,2003,380332363
Dock 72,2019,380000000
Sanford Fargo Medical Center,2017,375000000
Bellagio Spa Tower,2004,375000000
Gonda Building,2001,375000000
Cambridge Tower A,2017,370000000
ANZ Centre,2010,370000000
W South Beach Hotel & Residences,2009,370000000
WinX Tower,2018,365000000
The Westin Denver International Airport,2015,365000000
Bitrap Turkmenistan Hotel,2009,360000000
12 MetroTech Center,2005,360000000
Hyatt Regency Denver at the Colorado Convention Center,2005,354800000
M.D. Anderson Cancer Center - Mid-Campus Building One,2012,350000000
Hilton Convention Center,2009,350000000
Sheraton Phoenix Downtown,2008,350000000
Fairmont Pacific Rim Hotel,2009,350000000
Section 84,2006,350000000
Living Shangri-La,2008,350000000
State Street Financial Center,2003,350000000
One Campus Martius,2003,350000000
Main Tower,1999,350000000
Tekstilkent Plaza 2,2000,350000000
Tekstilkent Plaza 1,2000,350000000
Taiping Financial Tower,2011,350000000
New York-New York,1997,350000000
World Market Center - Building B,2007,345000000
MaRS Discovery Centre West Tower,2013,344000000
Park MGM,1996,344000000
San Jose City Hall,2005,343000000
Maricopa County Superior Court South Court Tower,2012,340000000
Torre de Cristal,2008,339590604
Memorial Hermann Tower,2009,335000000
Caesars Windsor - Forum Tower,1998,330000000
Miami-Dade Children’s Courthouse,2014,328000000
Le Bonheur Children's Medical Center Tower,2010,327000000
Escala Midtown,2009,325000000
Multnomah County Central Courthouse,2020,324000000
Loews Kansas City Convention Center Hotel,2020,322000000
MesseTurm,1990,322000000
Jewelry Trade Center,1996,322000000
Steel Tower,2014,321451000
Upper West,2017,320122000
CBC Broadcast Centre,1992,320000000
Tower at Turning Stone Hotel,2004,308000000
Q1 Tower,2005,307000000
Hilton Baltimore Inner Harbor,2008,301000000
Liberty Mutual Tower,2013,300000000
La Crosse Tower 1,2012,300000000
Vogue South Yarra,2012,300000000
Seven 17 Bourke Street,2010,300000000
Aqua,2009,300000000
The Residences at the Ritz-Carlton,2011,300000000
The Legacy at Millennium Park,2010,300000000
275 George Street,2009,300000000
Bay Adelaide West,2009,300000000
Almaty JW Marriott Hotel,2008,300000000
BioScience Research Collaborative,2009,300000000
Trump International Hotel Tower I,2008,300000000
Millennium Tower,2009,300000000
Russell Investments Center,2006,300000000
Imperia Tower,2011,300000000
MTA Building,1995,300000000
23 Marina,2012,298300000
OUS/OHSU Collaborative Life Sciences Building & OHSU Skourtes Tower,2014,295000000
Jamieson Place,2010,295000000
Mary Catherine Bunting Center,2010,292000000
Federal Office Building,1994,292000000
Kaleida Health Gates Vascular Institute,2011,291000000
Pierce Boston,2018,290000000
Augustus Tower,2005,289000000
CITIC Plaza,1997,285900000
Grand Hyatt San Antonio,2008,285000000
Hilton Americas-Houston,2003,285000000
Columbia Center,1985,285000000
One Peking Road,2003,282051000
Arsenal House,2004,281500000
Salesforce Tower,2018,280000000
Four Seasons Hotel & Tower,2003,280000000
Commerzbank Tower,1997,280000000
Regione Piemonte Tower,2019,275617000
888 Boylston Street,2016,275000000
Choctaw Durant Spa Tower,2015,275000000
